node,strength,betweenness
YuriiMotov,766.0,87379.90594941723
tiangolo,426.0,48581.98002981186
svlandeg,141.0,15027.710997881763
alejsdev,50.0,9842.644360947974
EgorOnishchuk,14.0,3439.292370488362
musicinmybrain,23.0,2506.1111969111985
njsbhu,8.0,2324.8767427017406
valentinDruzhinin,29.0,1909.0421650952744
leerob,7.0,1460.9999999999993
EdmilsonRodrigues,15.0,1380.4755096419497
ceb10n,16.0,1209.5138888888887
maxachis,8.0,1189.9224941724938
bokshitsky,7.0,1163.1093374776367
alv2017,8.0,1021.7570444570451
casperdcl,8.0,990.9722222222221
stickm4n,8.0,975.0
sajjadrahman56,7.0,975.0
Dawaman43,11.0,974.9999999999995
Kludex,8.0,974.0
patrick91,9.0,964.0000000000005
