node,community_id,strength
alexr00,0,1528.0
Tyriar,0,264.0
lszomoru,0,206.0
bpasero,0,118.0
dmitrivMS,0,71.0
chrmarti,0,68.0
aeschli,0,64.0
aiday-mar,0,61.0
dbaeumer,0,56.0
sandy081,0,55.0
benibenj,0,46.0
mrleemurray,0,44.0
hediet,0,38.0
joaomoreno,0,38.0
jrieken,0,38.0
lramos15,0,38.0
ulugbekna,0,34.0
kycutler,0,31.0
kabel,0,26.0
Daniel-Aaron-Bloom,0,20.0
vicky1999,0,18.0
anthonykim1,0,14.0
alexdima,0,10.0
dyhagho,0,9.0
gvilums,0,8.0
krassowski,0,7.0
bendrucker,0,6.0
deepak1556,0,6.0
ipcjs,0,6.0
gerardbalaoro,0,5.0
wankun-tcj,0,5.0
glektarssza,0,4.0
AobaIwaki123,0,3.0
ntrogh,0,3.0
smith,0,3.0
dineshc-msft,0,2.0
frontier159,0,2.0
homeoffice2028rjx-gif,0,2.0
jruales,0,2.0
justingrant,0,2.0
kieferrm,0,2.0
ljhlh49-dot,0,2.0
pWoLiAn,0,2.0
saviourjesus510-ops,0,2.0
sbatten,0,2.0
ArtemFilin1990,0,1.0
DanTup,0,1.0
Wetmelon,0,1.0
catskul,0,1.0
clicktodev,0,1.0
happyhelper188,0,1.0
jmaa4,0,1.0
joshspicer,1,361.0
rebornix,1,199.0
osortega,1,170.0
mjbvz,1,100.0
rzhao271,1,100.0
DonJayamanne,1,87.0
TylerLeonhardt,1,39.0
roblourens,1,32.0
justschen,1,23.0
pwang347,1,20.0
timrogers,1,15.0
connor4312,1,13.0
Yoyokrazy,1,12.0
karthiknadig,1,12.0
bhavyaus,1,10.0
eleanorjboyd,1,10.0
vijayupadya,1,10.0
YounisDany,1,6.0
amunger,1,6.0
joe10832,1,4.0
bamurtaugh,1,2.0
pubpepubpe-del,1,2.0
vs-code-engineering,1,2.0
rangheng333-lgtm,1,1.0
JanKoszewski,2,2.0
alexr000,2,2.0
hunterhogan,3,9.0
jorenham,3,3.0
laharigandrapu11,4,3.0
mogelbrod,4,1.0
mohamedamara1,5,5.0
knight174,5,2.0
Mamonaminyar,6,3.0
omreemr42,6,2.0
