community_id,size,total_strength,share
0,219,1317.0,0.4415322580645161
1,103,729.0,0.20766129032258066
2,58,347.0,0.11693548387096774
3,33,148.0,0.06653225806451613
4,13,102.0,0.02620967741935484
5,12,70.0,0.024193548387096774
6,11,55.0,0.02217741935483871
9,4,16.0,0.008064516129032258
7,4,13.0,0.008064516129032258
8,4,8.0,0.008064516129032258
13,3,23.0,0.006048387096774193
14,3,13.0,0.006048387096774193
16,3,13.0,0.006048387096774193
10,3,7.0,0.006048387096774193
11,3,7.0,0.006048387096774193
12,3,7.0,0.006048387096774193
15,3,6.0,0.006048387096774193
21,2,10.0,0.004032258064516129
19,2,6.0,0.004032258064516129
17,2,4.0,0.004032258064516129
20,2,3.0,0.004032258064516129
22,2,3.0,0.004032258064516129
23,2,3.0,0.004032258064516129
18,2,2.0,0.004032258064516129
